% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:41
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -7.02E-4                 282.58744284053273
3.0E-5                    -2.5E-5                  -7.01E-4                 282.3923573715924
3.0E-5                    -2.5E-5                  -7.000000000000001E-4    282.19727190265417
3.0E-5                    -2.5E-5                  -6.99E-4                 282.00218643371386
3.0E-5                    -2.5E-5                  -6.98E-4                 281.8071009647756
3.0E-5                    -2.5E-5                  -6.97E-4                 281.61201549583734
3.0E-5                    -2.5E-5                  -6.96E-4                 281.4169300268993
3.0E-5                    -2.5E-5                  -6.950000000000001E-4    281.22184455795946
3.0E-5                    -2.5E-5                  -6.94E-4                 281.0267590890187
3.0E-5                    -2.5E-5                  -6.93E-4                 280.8316736200793
3.0E-5                    -2.5E-5                  -6.92E-4                 280.6365881511406
3.0E-5                    -2.5E-5                  -6.91E-4                 280.4415026822005
3.0E-5                    -2.5E-5                  -6.900000000000001E-4    280.24641721326316
3.0E-5                    -2.5E-5                  -6.89E-4                 280.0513317443233
3.0E-5                    -2.5E-5                  -6.88E-4                 279.8562462753837
3.0E-5                    -2.5E-5                  -6.870000000000001E-4    279.6611608064445
3.0E-5                    -2.5E-5                  -6.86E-4                 279.4660753375049
3.0E-5                    -2.5E-5                  -6.850000000000001E-4    279.27098986856436
3.0E-5                    -2.5E-5                  -6.84E-4                 279.0759043996263
3.0E-5                    -2.5E-5                  -6.83E-4                 278.9026768262238
3.0E-5                    -2.5E-5                  -6.820000000000001E-4    278.7091787355108
3.0E-5                    -2.5E-5                  -6.81E-4                 278.5156806447952
3.0E-5                    -2.5E-5                  -6.8E-4                  278.3221825540822
3.0E-5                    -2.5E-5                  -6.79E-4                 278.1286844633673
3.0E-5                    -2.5E-5                  -6.78E-4                 277.9351863726535
3.0E-5                    -2.5E-5                  -6.770000000000001E-4    277.7416882819402
3.0E-5                    -2.5E-5                  -6.760000000000001E-4    277.54819019122635
3.0E-5                    -2.5E-5                  -6.75E-4                 277.35469210051286
3.0E-5                    -2.5E-5                  -6.74E-4                 277.1611940097985
3.0E-5                    -2.5E-5                  -6.73E-4                 276.96769591908605
3.0E-5                    -2.5E-5                  -6.720000000000001E-4    276.7741978283711
3.0E-5                    -2.5E-5                  -6.71E-4                 276.58069973765686
3.0E-5                    -2.5E-5                  -6.7E-4                  276.3872016469429
3.0E-5                    -2.5E-5                  -6.690000000000001E-4    276.1937035562274
3.0E-5                    -2.5E-5                  -6.68E-4                 276.0002054655159
3.0E-5                    -2.5E-5                  -6.670000000000001E-4    275.8067073748015
3.0E-5                    -2.5E-5                  -6.66E-4                 275.6132092840869
3.0E-5                    -2.5E-5                  -6.65E-4                 275.41971119337205
3.0E-5                    -2.5E-5                  -6.640000000000001E-4    275.22621310266015
3.0E-5                    -2.5E-5                  -6.63E-4                 275.0327150119464
3.0E-5                    -2.5E-5                  -6.62E-4                 274.83921692123266
3.0E-5                    -2.5E-5                  -6.61E-4                 274.64571883051644
3.0E-5                    -2.5E-5                  -6.6E-4                  274.4522207398041
3.0E-5                    -2.5E-5                  -6.590000000000001E-4    274.25872264909
3.0E-5                    -2.5E-5                  -6.580000000000001E-4    274.0652245583757
3.0E-5                    -2.5E-5                  -6.57E-4                 273.8717264676628
3.0E-5                    -2.5E-5                  -6.560000000000001E-4    273.67822837694825
3.0E-5                    -2.5E-5                  -6.55E-4                 273.48473028623454
3.0E-5                    -2.5E-5                  -6.540000000000001E-4    273.29123219551997
3.0E-5                    -2.5E-5                  -6.53E-4                 273.0977341048066
3.0E-5                    -2.5E-5                  -6.52E-4                 272.904236014092
3.0E-5                    -2.5E-5                  -6.510000000000001E-4    272.7107379233779
3.0E-5                    -2.5E-5                  -6.5E-4                  272.51723983266584
3.0E-5                    -2.5E-5                  -6.490000000000001E-4    272.3237417419518
3.0E-5                    -2.5E-5                  -6.48E-4                 272.13024365123624
3.0E-5                    -2.5E-5                  -6.47E-4                 271.9367455605228
3.0E-5                    -2.5E-5                  -6.460000000000001E-4    271.74324746980915
3.0E-5                    -2.5E-5                  -6.45E-4                 271.5497493790948
3.0E-5                    -2.5E-5                  -6.44E-4                 271.35625128838194
3.0E-5                    -2.5E-5                  -6.43E-4                 271.1627531976669
3.0E-5                    -2.5E-5                  -6.42E-4                 270.9692551069527
3.0E-5                    -2.5E-5                  -6.410000000000001E-4    270.775757016237
3.0E-5                    -2.5E-5                  -6.4E-4                  270.5620317329701
3.0E-5                    -2.5E-5                  -6.39E-4                 270.36777300219387
3.0E-5                    -2.5E-5                  -6.380000000000001E-4    270.17351427141557
3.0E-5                    -2.5E-5                  -6.37E-4                 269.97925554064
3.0E-5                    -2.5E-5                  -6.360000000000001E-4    269.7849968098617
3.0E-5                    -2.5E-5                  -6.35E-4                 269.59073807908567
3.0E-5                    -2.5E-5                  -6.34E-4                 269.396479348306
3.0E-5                    -2.5E-5                  -6.330000000000001E-4    269.20222061752975
3.0E-5                    -2.5E-5                  -6.32E-4                 269.00796188675235
3.0E-5                    -2.5E-5                  -6.31E-4                 268.8137031559754
3.0E-5                    -2.5E-5                  -6.3E-4                  268.619444425198
3.0E-5                    -2.5E-5                  -6.29E-4                 268.42518569442154
3.0E-5                    -2.5E-5                  -6.280000000000001E-4    268.23092696364233
3.0E-5                    -2.5E-5                  -6.270000000000001E-4    268.0366682328654
3.0E-5                    -2.5E-5                  -6.26E-4                 267.8424095020905
3.0E-5                    -2.5E-5                  -6.25E-4                 267.64815077131107
3.0E-5                    -2.5E-5                  -6.24E-4                 267.4538920405348
3.0E-5                    -2.5E-5                  -6.230000000000001E-4    267.2596333097572
3.0E-5                    -2.5E-5                  -6.22E-4                 267.11110727122036
3.0E-5                    -2.5E-5                  -6.21E-4                 266.9180505094639
3.0E-5                    -2.5E-5                  -6.200000000000001E-4    266.72499374770655
3.0E-5                    -2.5E-5                  -6.19E-4                 266.531936985951
3.0E-5                    -2.5E-5                  -6.180000000000001E-4    266.3388802241918
3.0E-5                    -2.5E-5                  -6.17E-4                 266.1458234624358
3.0E-5                    -2.5E-5                  -6.16E-4                 265.9527667006796
3.0E-5                    -2.5E-5                  -6.150000000000001E-4    265.7597099389229
3.0E-5                    -2.5E-5                  -6.14E-4                 265.56665317716374
