% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -7.47E-4                 -82.30593704218143
3.0E-5                    -2.5E-5                  -7.46E-4                 -82.37982683277491
3.0E-5                    -2.5E-5                  -7.45E-4                 -82.45371662336835
3.0E-5                    -2.5E-5                  -7.440000000000001E-4    -82.52760641396182
3.0E-5                    -2.5E-5                  -7.43E-4                 -82.60149620455533
3.0E-5                    -2.5E-5                  -7.42E-4                 -82.67538599514869
3.0E-5                    -2.5E-5                  -7.41E-4                 -82.7492757857423
3.0E-5                    -2.5E-5                  -7.4E-4                  -82.82316557633567
3.0E-5                    -2.5E-5                  -7.390000000000001E-4    -82.89705536692952
3.0E-5                    -2.5E-5                  -7.38E-4                 -82.97094515752278
3.0E-5                    -2.5E-5                  -7.37E-4                 -83.04483494811613
3.0E-5                    -2.5E-5                  -7.360000000000001E-4    -83.11872473870963
3.0E-5                    -2.5E-5                  -7.35E-4                 -83.19261452930321
3.0E-5                    -2.5E-5                  -7.340000000000001E-4    -83.26650431989644
3.0E-5                    -2.5E-5                  -7.33E-4                 -83.3403941104901
3.0E-5                    -2.5E-5                  -7.32E-4                 -83.41428390108352
3.0E-5                    -2.5E-5                  -7.310000000000001E-4    -83.48817369167718
3.0E-5                    -2.5E-5                  -7.3E-4                  -83.56206348227073
3.0E-5                    -2.5E-5                  -7.29E-4                 -83.63595327286404
3.0E-5                    -2.5E-5                  -7.28E-4                 -83.70984306345741
3.0E-5                    -2.5E-5                  -7.27E-4                 -83.78373285405111
3.0E-5                    -2.5E-5                  -7.260000000000001E-4    -83.85762264464466
3.0E-5                    -2.5E-5                  -7.250000000000001E-4    -83.93151243523788
3.0E-5                    -2.5E-5                  -7.24E-4                 -84.00540222583113
3.0E-5                    -2.5E-5                  -7.23E-4                 -84.0792920164251
3.0E-5                    -2.5E-5                  -7.22E-4                 -84.15318180701856
3.0E-5                    -2.5E-5                  -7.210000000000001E-4    -84.22707159761183
3.0E-5                    -2.5E-5                  -7.2E-4                  -84.30096138820537
3.0E-5                    -2.5E-5                  -7.19E-4                 -84.37485117879916
3.0E-5                    -2.5E-5                  -7.180000000000001E-4    -84.44874096939228
3.0E-5                    -2.5E-5                  -7.17E-4                 -84.5226307599857
3.0E-5                    -2.5E-5                  -7.160000000000001E-4    -84.59652055057938
3.0E-5                    -2.5E-5                  -7.15E-4                 -84.67041034117287
3.0E-5                    -2.5E-5                  -7.14E-4                 -84.74430013176658
3.0E-5                    -2.5E-5                  -7.130000000000001E-4    -84.81818992236043
3.0E-5                    -2.5E-5                  -7.12E-4                 -84.89207971295335
3.0E-5                    -2.5E-5                  -7.11E-4                 -84.9659695035468
